[ 00:40:33.740262 ] INFO   10467 async_log.c:335 create async_log thread successfully
[ 00:40:33.746663 ] INFO   10467 thread_manage.c:27 enter worker_init...
[ 00:41:11.505346 ] INFO   10481 thread_manage.c:14 ready to enter the loop...
[ 00:47:24.676339 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53191, conn_fd:9
[ 00:47:24.676478 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53192, conn_fd:10
[ 00:47:30.152708 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53193, conn_fd:9
[ 00:47:30.266926 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53194, conn_fd:9
[ 00:47:30.307525 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53195, conn_fd:9
[ 00:47:30.309108 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53196, conn_fd:9
[ 00:47:30.312510 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53197, conn_fd:9
[ 00:47:30.314398 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53198, conn_fd:9
[ 00:47:30.314529 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53199, conn_fd:10
[ 00:47:30.316305 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53200, conn_fd:9
[ 00:47:33.584069 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53201, conn_fd:9
[ 00:47:33.669920 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53202, conn_fd:9
[ 00:47:33.686873 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53203, conn_fd:9
[ 00:47:33.688512 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53204, conn_fd:9
[ 00:47:33.689458 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53205, conn_fd:9
